date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_percent,gross_total,discount_amount,net_revenue,days_since_purchase,municipality_name,municipal_status,municipal_structure
2025-10-09,C1063,Running Shoes,116.98,1.0,SAVE10,Hamilton,10,116.98,11.698,105.28200000000001,326,Hamilton,City,Single-tier
2026-07-13,C1023,Keyboard,65.4,1.0,FREESHIP,Mississauga,0,65.4,0.0,65.4,49,Mississauga,City,Lower-tier
2025-08-12,C1060,Laptop,941.75,1.0,SAVE10,Toronto,10,941.75,94.17500000000001,847.575,384,Toronto,City,Single-tier
2026-07-13,C1108,Coffee Maker,91.77,2.0,FREESHIP,Hamilton,0,183.54,0.0,183.54,49,Hamilton,City,Single-tier
2025-01-07,C1041,Desk Lamp,37.24,5.0,SAVE15,Mississauga,15,186.20000000000002,27.930000000000003,158.27,601,Mississauga,City,Lower-tier
2025-08-09,C1087,USB Cable,13.96,3.0,SAVE20,Waterloo,20,41.88,8.376000000000001,33.504000000000005,387,Waterloo,City,Lower-tier
2026-01-03,C1089,Wireless Mouse,27.34,4.0,SAVE10,Ottawa,10,109.36,10.936,98.424,240,Ottawa,City,Single-tier
2025-05-08,C1097,Laptop,965.9,4.0,WELCOME10,Waterloo,10,3863.6,386.36,3477.24,480,Waterloo,City,Lower-tier
2026-01-06,C1148,Coffee Maker,91.81,3.0,FREESHIP,Hamilton,0,275.43,0.0,275.43,237,Hamilton,City,Single-tier
2025-08-22,C1075,Hoodie,57.28,1.0,SAVE10,Waterloo,10,57.28,5.728000000000001,51.552,374,Waterloo,City,Lower-tier
2025-10-12,C1117,Headphones,72.32,1.0,NONE,Toronto,0,72.32,0.0,72.32,323,Toronto,City,Single-tier
2025-08-03,C1069,Keyboard,65.63,3.0,SAVE15,Waterloo,15,196.89,29.533499999999997,167.35649999999998,393,Waterloo,City,Lower-tier
2025-09-08,C1042,Water Bottle,26.65,2.0,WELCOME10,Brampton,10,53.3,5.33,47.97,357,Brampton,City,Lower-tier
2026-07-25,C1057,Backpack,47.11,3.0,FREESHIP,London,0,141.32999999999998,0.0,141.32999999999998,37,London,City,Single-tier
2025-11-20,C1103,Laptop,842.72,2.0,SAVE10,Ottawa,10,1685.44,168.544,1516.896,284,Ottawa,City,Single-tier
2025-11-19,C1055,Wireless Mouse,28.09,2.0,WELCOME10,Brampton,10,56.18,5.618,50.562,285,Brampton,City,Lower-tier
2025-09-29,C1036,Backpack,48.03,4.0,SAVE20,Hamilton,20,192.12,38.42400000000001,153.696,336,Hamilton,City,Single-tier
2025-09-27,C1150,Hoodie,55.26,5.0,WELCOME10,Mississauga,10,276.3,27.630000000000003,248.67000000000002,338,Mississauga,City,Lower-tier
2025-08-13,C1036,Water Bottle,24.65,4.0,SAVE15,Brampton,15,98.6,14.79,83.81,383,Brampton,City,Lower-tier
