date,customer_id,product,price,quantity,coupon_code,shipping_city
2025-10-09,C1063,Running Shoes,116.98,1,SAVE10,Hamilton
2026-07-13,C1023,Keyboard,65.4,1,FREESHIP,Mississauga
2025-08-12,C1060,Laptop,941.75,1,SAVE10,Toronto
2026-07-13,C1108,Coffee Maker,91.77,2,FREESHIP,Hamilton
2025-01-07,C1041,Desk Lamp,37.24,5,SAVE15,Mississauga
2025-08-09,C1087,USB Cable,13.96,3,SAVE20,Waterloo
2026-01-03,C1089,Wireless Mouse,27.34,4,SAVE10,Ottawa
2025-05-08,C1097,Laptop,965.9,4,WELCOME10,Waterloo
2026-01-06,C1148,Coffee Maker,91.81,3,FREESHIP,Hamilton
2025-08-22,C1075,Hoodie,57.28,1,SAVE10,Waterloo
2025-10-12,C1117,Headphones,72.32,1,NONE, Toronto 
2025-08-03,C1069,Keyboard,65.63,3,SAVE15,Waterloo
2025-09-08,C1042,Water Bottle,26.65,2,WELCOME10,Brampton
2026-07-25,C1057,Backpack,47.11,3,FREESHIP,London
2025-11-20,C1103,Laptop,842.72,2,SAVE10,Ottawa
2025-11-19,C1055,Wireless Mouse,28.09,2,WELCOME10,Brampton
2025-09-29,C1036,Backpack,48.03,4,SAVE20,Hamilton
2025-09-27,C1150,Hoodie,55.26,5,WELCOME10,Mississauga
2025-08-13,C1036,Water Bottle,24.65,4,SAVE15,Brampton
2025-06-06,C1041,Wireless Mouse,28.74,1,SAVE10,Mississauga
2026-01-26,C1120,Water Bottle,25.55,1,NONE,Ottawa
2025-04-28,C1138,Coffee Maker,83.5,1,FREESHIP,Ottawa
2025-10-28,C1112,Running Shoes,115.0,3,SAVE10,Kitchener
2025-09-27,C1129,Desk Lamp,38.92,1,FREESHIP,Kitchener
2025-11-02,C1130,Coffee Maker,89.2,1,FREESHIP,Hamilton
2026-07-07,C1136,Keyboard,63.41,3,SAVE20,toronto
2025-01-20,C1029,Water Bottle,23.49,3,NONE,London
2025-09-04,C1146,Smartphone,701.98,2,SAVE10,Waterloo
2026-06-30,C1033,Wireless Mouse,30.54,4,SAVE10,Kitchener
2025-06-19,C1068,Running Shoes,109.11,4,WELCOME10,Mississauga
2025-07-25,C1080,Headphones,81.71,5,FREESHIP,Mississauga
2026-06-14,C1116,Running Shoes,112.08,3,NONE,Waterloo
2025-12-13,C1006,Headphones,73.03,2,SAVE10,Hamilton
2025-03-14,C1016,Water Bottle,27.23,2,SAVE10,Hamilton
2025-03-14,C1132,Wireless Mouse,32.78,1,SAVE15,Hamilton
2026-07-07,C1034,Smartphone,743.17,4,SAVE20,Brampton
2025-07-14,C1025,Headphones,76.86,4,NONE,Waterloo
2026-03-10,C1106,Running Shoes,110.33,4,SAVE15,Brampton
2025-04-11,C1016,Hoodie,57.02,1,FREESHIP,Mississauga
2025-09-12,C1050,Hoodie,54.33,3,SAVE10,Hamilton
2026-03-09,C1047, Laptop ,83.19,4,SAVE20,Ottawa
2026-03-30,C1141,Desk Lamp,39.95,2,SAVE10,Waterloo
2025-04-06,C1061,Laptop,816.18,5,SAVE10,Kitchener
2025-08-07,C1103,Backpack,54.08,4,NONE,Toronto
2026-02-04,C1068,Keyboard,57.1,4,SAVE10,Brampton
2026-07-24,C1125,Smartphone,722.74,4,FREESHIP,Kitchener
2025-03-01,C1149,Headphones,76.98,3,SAVE20,Toronto
2025-02-21,C1150,Hoodie,55.21,3,SAVE10,Brampton
2025-02-28,C1131,Coffee Maker,90.83,5,SAVE20,Waterloo
2025-03-11,C1061,Keyboard,56.21,1,WELCOME10,Mississauga
2026-08-16,C1011,Wireless Mouse,32.81,5,SAVE20,Waterloo
2026-06-20,C1081,Backpack,52.74,5,WELCOME10,Ottawa
2025-09-29,C1102,Headphones,87.02,3,SAVE20,Kitchener
2025-11-20,C1019,Running Shoes,129.47,3,NONE,Toronto
2025-04-13,C1019,Desk Lamp,40.77,5,WELCOME10,Hamilton
2025-12-24,C1018,Coffee Maker,97.58,3,,Hamilton
2026-03-25,C1140,USB Cable,13.76,3,SAVE20,Ottawa
2026-07-22,C1077,Water Bottle,23.47,5,SAVE10,Waterloo
2025-04-20,C1142,Keyboard,54.53,3,SAVE10,Kitchener
2025-08-04,C1088,Smartphone,675.54,3,WELCOME10,Hamilton
2026-05-16,C1065,Running Shoes,117.32,3,WELCOME10,Toronto
2025-02-15,C1001,Wireless Mouse,28.62,4,SAVE15,London
2026-03-29,C1142,Keyboard,63.93,3,SAVE20,Mississauga
2025-03-19,C1039,Coffee Maker,87.41,1,SAVE10,Toronto
2025-06-01,C1111,USB Cable,14.33,5,WELCOME10,Kitchener
2025-02-10,C1092,Laptop,907.68,3,SAVE15,Hamilton
2025-04-16,C1091,Running Shoes,111.37,2,FREESHIP,Mississauga
2025-06-16,C1046,Water Bottle,26.5,2,SAVE20,Mississauga
2025-12-07,C1106,Laptop,823.41,2,FREESHIP,Hamilton
2025-04-21,C1098,Smartphone,768.15,2,FREESHIP,Toronto
2026-04-17,C1090,Desk Lamp,42.17,2,SAVE20,Ottawa
2025-07-17,C1103,Headphones,75.17,2,SAVE10,London
2025-12-26,C1131,Smartphone,630.76,1,SAVE15,Mississauga
2025-01-29,C1030,Running Shoes,127.56,5,SAVE15,Ottawa
2025-02-09,C1028,Keyboard,62.47,5,SAVE15,Mississauga
2026-06-08,C1030,USB Cable,-25.0,3,NONE,Mississauga
2025-02-15,C1112,Water Bottle,26.35,2,SAVE15,Toronto
2025-07-21,C1094,Coffee Maker,82.32,5,FREESHIP,Mississauga
2025-11-18,C1032,Wireless Mouse,29.14,3,WELCOME10,Ottawa
2026-02-23,C1084,Coffee Maker,83.08,3,FREESHIP,Mississauga
2025-05-11,C1050,Hoodie,58.98,3,WELCOME10,Mississauga
2025-06-28,C1146,Running Shoes,122.95,4,FREESHIP,Ottawa
2025-11-08,C1074,Backpack,48.3,5,SAVE10,Hamilton
2025-11-26,C1120,Backpack,45.63,5,WELCOME10,Brampton
2026-04-30,C1044,Desk Lamp,38.48,2,WELCOME10,Waterloo
